Origem Destino Custo
1 6 9.43
1 4 25.08
2 7 17.26
2 12 18.68
3 17 11.18
3 13 31.40
4 8 18.38
4 14 25.18
5 15 15.52
5 11 22.47
6 14 7.81
6 10 38.08
7 2 17.26
7 11 13.60
8 4 18.38
8 13 17.49
9 18 23.32
9 25 13.93
10 16 20.62
10 13 20.81
11 7 13.60
11 20 23.02
12 2 18.68
12 22 20.25
13 3 31.40
13 29 7.28
14 6 7.81
14 43 13.34
15 5 15.52
15 37 14.32
16 10 20.62
16 24 14.14
17 3 11.18
17 33 23.35
18 9 23.32
18 22 11.66
19 43 7.81
19 29 28.84
20 11 23.02
20 32 12.08
21 27 8.06
21 33 12.04
22 12 20.25
22 42 8.60
23 26 14.21
23 41 20.10
24 16 14.14
24 60 8.25
25 9 13.93
25 45 19.10
26 23 14.21
26 38 25.96
27 21 8.06
27 47 10.44
28 55 22.47
28 41 18.44
29 13 7.28
29 54 5.00
30 42 19.72
30 70 9.43
31 39 19.10
31 51 10.77
32 20 12.08
32 49 6.40
33 17 23.35
33 21 12.04
34 52 13.60
34 44 30.61
35 59 10.30
35 47 8.94
36 44 14.14
36 38 16.12
37 15 14.32
37 57 7.81
38 26 25.96
38 58 11.18
39 31 19.10
39 59 9.22
40 54 7.81
40 72 6.08
41 23 20.10
41 28 18.44
42 22 8.60
42 30 19.72
43 19 7.81
43 14 13.34
44 36 14.14
44 34 30.61
45 25 19.10
45 53 33.06
46 52 14.14
46 66 8.60
47 27 10.44
47 35 8.94
48 50 16.12
48 71 12.37
49 32 6.40
49 68 21.19
50 48 16.12
50 77 7.21
51 31 10.77
51 77 16.40
52 34 13.60
52 46 14.14
53 45 33.06
53 80 26.93
54 29 5.00
54 40 7.81
55 28 22.47
55 75 21.21
56 64 6.08
56 76 2.83
57 37 7.81
57 75 12.04
58 38 11.18
58 79 5.83
59 35 10.30
59 39 9.22
60 24 8.25
60 84 16.12
61 82 9.22
61 75 7.62
62 83 1.41
62 91 5.39
63 92 14.32
63 66 16.40
64 56 6.08
64 72 10.20
65 77 7.28
65 71 30.02
66 46 8.60
66 63 16.40
67 83 12.65
67 97 7.07
68 49 21.19
68 94 5.39
69 58 12.53
69 91 23.02
70 30 9.43
70 73 16.28
71 48 12.37
71 65 30.02
72 40 6.08
72 64 10.20
73 70 16.28
73 85 19.42
74 81 10.82
74 77 17.26
75 55 21.21
75 57 12.04
76 56 2.83
76 86 18.44
77 50 7.21
77 65 7.28
78 85 15.13
78 87 9.85
79 58 5.83
79 81 19.10
80 53 26.93
80 97 18.03
81 74 10.82
81 79 19.10
82 61 9.22
82 90 20.62
83 62 1.41
83 67 12.65
84 60 16.12
84 89 10.20
85 73 19.42
85 78 15.13
86 76 18.44
86 98 35.23
87 78 9.85
87 93 41.11
88 79 6.40
88 97 36.40
89 84 10.20
89 98 8.49
90 82 20.62
90 99 25.55
91 62 5.39
91 69 23.02
92 63 14.32
92 96 10.44
93 87 41.11
93 97 12.65
94 68 5.39
94 99 41.11
95 91 7.21
95 83 2.83
96 92 10.44
96 82 14.14
97 67 7.07
97 93 12.65
98 89 8.49
98 86 35.23
99 90 25.55
99 94 41.11
100 79 6.40
100 69 13.45
