ID X Y
1 12 45
2 78 34
3 56 89
4 23 67
5 91 12
6 44 53
7 67 21
8 39 76
9 85 64
10 14 90
11 72 11
12 60 38
13 25 84
14 48 59
15 93 27
16 10 70
17 36 95
18 81 42
19 54 73
20 29 18
21 63 86
22 77 50
23 41 33
24 19 60
25 88 77
26 32 44
27 69 92
28 51 15
29 26 81
30 74 39
31 90 66
32 17 24
33 58 97
34 43 12
35 66 78
36 11 55
37 83 20
38 35 69
39 92 47
40 27 88
41 61 31
42 75 58
43 49 72
44 13 41
45 87 94
46 33 16
47 70 85
48 52 63
49 21 29
50 64 48
51 80 74
52 46 19
53 95 61
54 30 82
55 57 37
56 18 96
57 68 25
58 40 79
59 84 53
60 24 68
61 62 14
62 79 87
63 47 35
64 16 93
65 71 57
66 38 22
67 89 80
68 28 49
69 55 91
70 73 30
71 42 65
72 15 83
73 86 40
74 34 71
75 59 17
76 20 98
77 65 54
78 82 28
79 45 76
80 94 36
81 31 62
82 53 13
83 76 88
84 22 52
85 67 43
86 37 99
87 91 26
88 50 75
89 14 58
90 60 32
91 78 84
92 41 21
93 96 67
94 26 46
95 72 90
96 39 11
97 85 73
98 17 64
99 63 27
100  48 81
