ID h(n)
1 50.60
2 55.54
3 8.94
4 27.46
5 80.78
6 28.64
7 63.25
8 10.82
9 40.72
10 36.06
11 71.45
12 43.01
13 23.02
14 22.20
15 71.85
16 39.20
17 18.38
18 50.33
19 7.28
20 65.97
21 15.13
22 42.54
23 49.04
24 35.23
25 40.01
26 40.31
27 11.70
28 66.12
29 22.02
30 47.20
31 44.42
32 65.00
33 16.28
34 70.21
35 21.10
36 44.42
37 70.01
38 17.46
39 55.61
40 21.21
41 50.01
42 35.85
43 12.04
44 53.85
45 41.88
46 67.42
47 14.32
48 18.97
49 58.00
50 34.53
51 33.12
52 63.25
53 50.45
54 18.03
55 44.05
56 32.76
57 60.03
58 8.54
59 45.35
60 27.20
61 68.19
62 31.00
63 45.22
64 33.24
65 32.06
66 60.75
67 41.01
68 39.40
69 12.21
70 56.09
71 18.38
72 33.62
73 53.76
74 17.72
75 65.55
76 33.24
77 31.62
78 60.21
79 5.00
80 65.19
81 25.00
82 69.57
83 28.02
84 38.28
85 42.72
86 20.81
87 69.03
88 6.40
89 40.00
90 50.25
91 30.02
92 65.76
93 50.01
94 41.23
95 25.00
96 70.68
97 38.08
98 35.36
99 56.36
100  0.00
