  cell  ,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",1,0,1,0
"(3, 1)",1,0,0,0
"(4, 1)",1,0,0,1
"(5, 1)",0,0,1,1
"(6, 1)",1,0,1,1
"(7, 1)",1,0,1,0
"(8, 1)",0,0,0,1
"(9, 1)",1,0,1,1
"(10, 1)",1,0,1,0
"(11, 1)",1,0,0,1
"(12, 1)",0,0,1,0
"(13, 1)",1,0,0,1
"(14, 1)",1,0,1,0
"(15, 1)",1,0,0,1
"(16, 1)",0,0,1,1
"(17, 1)",0,0,1,1
"(18, 1)",1,0,1,1
"(19, 1)",0,0,1,1
"(20, 1)",1,0,1,0
"(21, 1)",1,0,0,1
"(22, 1)",1,0,1,1
"(23, 1)",1,0,1,0
"(24, 1)",0,0,0,1
"(25, 1)",1,0,1,1
"(26, 1)",1,0,1,0
"(27, 1)",0,0,0,1
"(28, 1)",0,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,1
"(31, 1)",0,0,1,1
"(32, 1)",0,0,1,1
"(33, 1)",0,0,1,1
"(34, 1)",0,0,1,1
"(35, 1)",1,0,1,0
"(36, 1)",1,0,0,1
"(37, 1)",1,0,1,1
"(38, 1)",0,0,1,0
"(39, 1)",1,0,0,1
"(40, 1)",0,0,1,1
"(41, 1)",1,0,1,1
"(42, 1)",0,0,1,1
"(43, 1)",0,0,1,0
"(44, 1)",1,0,0,1
"(45, 1)",1,0,1,1
"(46, 1)",1,0,1,0
"(47, 1)",0,0,0,1
"(48, 1)",1,0,1,1
"(49, 1)",1,0,1,0
"(50, 1)",1,0,0,1
"(51, 1)",0,0,1,1
"(52, 1)",0,0,1,1
"(53, 1)",0,0,1,1
"(54, 1)",1,0,1,0
"(55, 1)",1,0,0,1
"(56, 1)",1,0,1,1
"(57, 1)",0,0,1,1
"(58, 1)",1,0,1,0
"(59, 1)",1,0,0,0
"(60, 1)",1,0,0,1
"(61, 1)",0,0,1,1
"(62, 1)",0,0,1,1
"(63, 1)",0,0,1,1
"(64, 1)",1,0,1,1
"(65, 1)",0,0,1,1
"(66, 1)",0,0,1,1
"(67, 1)",1,0,1,0
"(68, 1)",0,0,0,1
"(69, 1)",0,0,1,1
"(70, 1)",1,0,1,1
"(71, 1)",0,0,1,1
"(72, 1)",0,0,1,1
"(73, 1)",0,0,1,1
"(74, 1)",1,0,1,0
"(75, 1)",1,0,0,1
